Zeitstempel,Marktstatus,SPY_mark,Cash,Depotwert,Benchmark,Positionen
2026-07-17 08:39 ET,VORBÖRSLICH,750.72,14979.11,9984.11,10000.00,LONG AAPL@333.26 / SHORT EEM@64.19 / SHORT QQQ@705.94 / SHORT SPY@750.72
2026-07-17 11:49 ET,OFFEN,745.40,10024.72,10056.36,9929.07,LONG AAPL@333.35 / SHORT EEM@63.40 / LONG USO@122.71 / SHORT NVDA@204.77
2026-07-17 13:58 ET,OFFEN,744.44,10024.72,10083.25,9916.35,LONG AAPL@331.72 / SHORT EEM@63.45 / LONG USO@124.50 / SHORT NVDA@204.40
2026-07-17 14:00 ET,OFFEN,744.57,10024.72,10080.28,9918.08,LONG AAPL@331.82 / SHORT EEM@63.44 / LONG USO@124.40 / SHORT NVDA@204.55
2026-07-17 15:12 ET,OFFEN,743.00,10065.71,10115.86,9897.17,LONG AAPL@333.96 / SHORT EEM@63.24 / LONG USO@123.80 / SHORT QQQ@695.74
2026-07-17 15:24 ET,OFFEN,742.60,13479.74,10108.53,9891.84,SHORT EEM@63.21 / LONG USO@123.88 / SHORT QQQ@695.03
2026-07-17 15:28 ET,OFFEN,743.06,13479.74,10101.74,9897.96,SHORT EEM@63.29 / LONG USO@123.94 / SHORT QQQ@695.76
2026-07-17 16:08 ET,NACH-SCHLUSS,743.15,13479.74,10105.56,9899.16,SHORT EEM@63.29 / LONG USO@123.99 / SHORT QQQ@695.33
2026-07-18 12:23 ET,GESCHLOSSEN,743.29,13479.74,10104.74,9901.03,SHORT EEM@63.29 / LONG USO@123.96 / SHORT QQQ@695.33
2026-07-20 09:11 ET,VORBÖRSLICH,743.29,13478.93,10103.94,9901.03,SHORT EEM@63.29 / LONG USO@123.96 / SHORT QQQ@695.33
2026-07-20 09:35 ET,OFFEN,747.85,10002.92,10002.92,9961.77,SHORT EEM@64.04 / LONG USO@123.60
2026-07-20 10:14 ET,OFFEN,744.97,6699.81,10056.41,9923.41,LONG USO@124.75 / SHORT QQQ@700.32 / LONG BTC-USD@64260.00
2026-07-20 12:07 ET,OFFEN,746.71,6678.03,10066.12,9946.59,LONG USO@123.75 / LONG BTC-USD@65397.30 / SHORT EEM@64.15
2026-07-20 13:24 ET,OFFEN,744.15,10093.08,10093.08,9912.48,LONG USO@124.66 / SHORT EEM@63.94 / LONG AAPL@324.56 / SHORT NVDA@203.80
2026-07-20 14:15 ET,OFFEN,745.02,10070.29,10077.61,9924.07,SHORT EEM@63.93 / LONG AAPL@325.45 / SHORT SPY@745.02 / LONG BTC-USD@65689.95
2026-07-20 15:08 ET,OFFEN,742.56,13460.44,10093.65,9891.30,SHORT EEM@63.58 / LONG AAPL@328.05 / SHORT SPY@742.56 / LONG BTC-USD@65184.69 / SHORT QQQ@697.45 / SHORT NVDA@202.88
2026-07-20 15:50 ET,OFFEN,742.47,6713.30,10074.99,9890.11,SHORT EEM@63.69 / LONG AAPL@327.43 / LONG BTC-USD@65061.21
2026-07-20 16:08 ET,NACH-SCHLUSS,742.21,6713.30,10073.98,9886.64,SHORT EEM@63.58 / LONG AAPL@326.59 / LONG BTC-USD@65085.94
2026-07-21 03:26 ET,VORBÖRSLICH,742.09,6712.90,10081.82,9885.04,SHORT EEM@63.56 / LONG AAPL@326.59 / LONG BTC-USD@65230.03
2026-07-21 11:18 ET,OFFEN,747.33,-20.33,10054.35,9954.84,LONG USO@128.21
2026-07-21 12:08 ET,OFFEN,748.15,6684.86,10037.36,9965.77,LONG AAPL@328.76 / SHORT NVDA@206.34 / LONG BTC-USD@66607.52
2026-07-21 13:08 ET,OFFEN,748.62,20060.15,10020.04,9972.03,SHORT SPY@748.62
2026-07-21 14:11 ET,OFFEN,748.39,-20.07,10003.06,9968.96,LONG GLD@373.57
2026-07-21 15:01 ET,OFFEN,748.23,-10.05,10022.25,9966.90,LONG GLD@374.65 / LONG USO@128.58
2026-07-21 15:14 ET,OFFEN,748.25,6680.42,10023.97,9967.10,LONG GLD@374.38 / LONG USO@128.89 / SHORT QQQ@708.76
2026-07-21 16:36 ET,NACH-SCHLUSS,748.24,6680.42,10013.66,9967.03,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-22 03:17 ET,VORBÖRSLICH,748.24,6680.02,10013.26,9967.03,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-22 16:13 ET,NACH-SCHLUSS,748.24,6680.02,10013.26,9967.03,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-22 16:14 ET,NACH-SCHLUSS,747.47,6680.02,10013.26,9956.71,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-22 16:34 ET,NACH-SCHLUSS,747.47,6680.02,10013.26,9956.71,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-23 04:16 ET,VORBÖRSLICH,747.47,6679.62,10012.86,9956.71,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-23 05:23 ET,VORBÖRSLICH,747.41,6679.62,10012.86,9955.91,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-23 06:50 ET,VORBÖRSLICH,747.41,6679.62,10012.86,9955.91,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-23 08:14 ET,VORBÖRSLICH,747.41,6679.62,10012.86,9955.91,LONG GLD@373.75 / LONG USO@128.64 / SHORT QQQ@708.41
2026-07-23 11:04 ET,OFFEN,737.70,7524.28,10353.60,9826.57,LONG TRV@377.79 / LONG LITE@844.13 / LONG ABT@101.43 / SHORT CVNA@60.90 / LONG EQT@54.28 / LONG TER@370.43 / SHORT CDNS@334.61 / SHORT AXON@490.12 / SHORT SNPS@373.73 / LONG CF@128.43 / LONG STX@920.60
2026-07-23 13:14 ET,OFFEN,738.62,7942.83,10326.63,9838.84,LONG TRV@377.36 / LONG LITE@847.10 / LONG ABT@100.31 / SHORT CVNA@60.65 / LONG EQT@53.64 / LONG TER@374.05 / SHORT CDNS@333.51 / SHORT AXON@493.22 / SHORT SNPS@374.00 / LONG CF@125.95 / LONG STX@924.72 / SHORT PTC@112.99 / LONG SMCI@32.21
2026-07-23 15:06 ET,OFFEN,736.80,7206.64,10295.57,9814.58,LONG TRV@377.08 / LONG LITE@835.17 / LONG ABT@100.89 / SHORT CVNA@59.81 / LONG EQT@53.56 / LONG TER@368.59 / SHORT CDNS@331.54 / SHORT AXON@489.59 / SHORT SNPS@372.25 / LONG CF@126.26 / LONG STX@919.45 / SHORT PTC@113.18 / LONG SMCI@30.92 / LONG WAB@295.58
2026-07-23 16:56 ET,NACH-SCHLUSS,747.41,7206.64,10268.09,9955.91,LONG TRV@377.74 / LONG LITE@844.13 / LONG ABT@100.57 / SHORT CVNA@62.75 / LONG EQT@54.01 / LONG TER@370.39 / SHORT CDNS@337.01 / SHORT AXON@491.49 / SHORT SNPS@373.73 / LONG CF@127.35 / LONG STX@918.75 / SHORT PTC@113.39 / LONG SMCI@31.08 / LONG WAB@297.03
